 1 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.75
 1 threads :       10 trials ; probability =  40.00% ; megatrials/sec =   4.32
 1 threads :      100 trials ; probability =  29.00% ; megatrials/sec =   7.72
 1 threads :     1000 trials ; probability =  29.70% ; megatrials/sec =   8.36
 1 threads :    10000 trials ; probability =  29.77% ; megatrials/sec =  15.26
 1 threads :   100000 trials ; probability =  28.85% ; megatrials/sec =   8.21
 1 threads :   500000 trials ; probability =  29.03% ; megatrials/sec =  15.82
 1 threads :  1000000 trials ; probability =  29.11% ; megatrials/sec =  15.12
 2 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.32
 2 threads :       10 trials ; probability =  30.00% ; megatrials/sec =   3.45
 2 threads :      100 trials ; probability =  34.00% ; megatrials/sec =  12.63
 2 threads :     1000 trials ; probability =  30.30% ; megatrials/sec =  16.00
 2 threads :    10000 trials ; probability =  29.67% ; megatrials/sec =  16.41
 2 threads :   100000 trials ; probability =  28.96% ; megatrials/sec =  16.02
 2 threads :   500000 trials ; probability =  29.00% ; megatrials/sec =  17.59
 2 threads :  1000000 trials ; probability =  29.12% ; megatrials/sec =  30.65
 4 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.33
 4 threads :       10 trials ; probability =  10.00% ; megatrials/sec =   3.07
 4 threads :      100 trials ; probability =  27.00% ; megatrials/sec =  16.66
 4 threads :     1000 trials ; probability =  29.30% ; megatrials/sec =  29.75
 4 threads :    10000 trials ; probability =  28.97% ; megatrials/sec =  32.80
 4 threads :   100000 trials ; probability =  29.05% ; megatrials/sec =  32.48
 4 threads :   500000 trials ; probability =  29.10% ; megatrials/sec =  31.22
 4 threads :  1000000 trials ; probability =  29.09% ; megatrials/sec =  31.97
 8 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.31
 8 threads :       10 trials ; probability =  10.00% ; megatrials/sec =   3.32
 8 threads :      100 trials ; probability =  24.00% ; megatrials/sec =  15.62
 8 threads :     1000 trials ; probability =  28.40% ; megatrials/sec =  38.16
 8 threads :    10000 trials ; probability =  29.95% ; megatrials/sec =  43.93
 8 threads :   100000 trials ; probability =  28.96% ; megatrials/sec =  65.29
 8 threads :   500000 trials ; probability =  29.09% ; megatrials/sec =  62.63
 8 threads :  1000000 trials ; probability =  29.07% ; megatrials/sec =  61.32
12 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.22
12 threads :       10 trials ; probability =  20.00% ; megatrials/sec =   2.12
12 threads :      100 trials ; probability =  27.00% ; megatrials/sec =  20.28
12 threads :     1000 trials ; probability =  28.10% ; megatrials/sec =  50.09
12 threads :    10000 trials ; probability =  28.45% ; megatrials/sec =  64.33
12 threads :   100000 trials ; probability =  29.17% ; megatrials/sec =  65.46
12 threads :   500000 trials ; probability =  29.22% ; megatrials/sec =  68.14
12 threads :  1000000 trials ; probability =  29.23% ; megatrials/sec =  94.80
16 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.18
16 threads :       10 trials ; probability =  20.00% ; megatrials/sec =   1.68
16 threads :      100 trials ; probability =  29.00% ; megatrials/sec =  15.92
16 threads :     1000 trials ; probability =  28.10% ; megatrials/sec =  59.06
16 threads :    10000 trials ; probability =  30.06% ; megatrials/sec =  84.48
16 threads :   100000 trials ; probability =  29.01% ; megatrials/sec =  85.09
16 threads :   500000 trials ; probability =  29.06% ; megatrials/sec =  87.66
16 threads :  1000000 trials ; probability =  29.15% ; megatrials/sec =  86.97
20 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.18
20 threads :       10 trials ; probability =  50.00% ; megatrials/sec =   1.75
20 threads :      100 trials ; probability =  31.00% ; megatrials/sec =  13.96
20 threads :     1000 trials ; probability =  29.70% ; megatrials/sec =  71.80
20 threads :    10000 trials ; probability =  29.96% ; megatrials/sec = 103.14
20 threads :   100000 trials ; probability =  29.19% ; megatrials/sec =  80.27
20 threads :   500000 trials ; probability =  29.13% ; megatrials/sec = 105.70
20 threads :  1000000 trials ; probability =  29.06% ; megatrials/sec = 108.04
24 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.00
24 threads :       10 trials ; probability =   0.00% ; megatrials/sec =   1.33
24 threads :      100 trials ; probability =  25.00% ; megatrials/sec =  13.70
24 threads :     1000 trials ; probability =  27.70% ; megatrials/sec =  65.57
24 threads :    10000 trials ; probability =  29.17% ; megatrials/sec = 115.76
24 threads :   100000 trials ; probability =  29.08% ; megatrials/sec =  58.65
24 threads :   500000 trials ; probability =  29.02% ; megatrials/sec =  64.51
24 threads :  1000000 trials ; probability =  28.97% ; megatrials/sec = 113.58
32 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.02
32 threads :       10 trials ; probability =  40.00% ; megatrials/sec =   0.21
32 threads :      100 trials ; probability =  23.00% ; megatrials/sec =   1.20
32 threads :     1000 trials ; probability =  29.90% ; megatrials/sec =  14.86
32 threads :    10000 trials ; probability =  28.88% ; megatrials/sec =  54.05
32 threads :   100000 trials ; probability =  29.20% ; megatrials/sec =  80.93
32 threads :   500000 trials ; probability =  29.14% ; megatrials/sec =  98.93
32 threads :  1000000 trials ; probability =  29.08% ; megatrials/sec =  90.99
